a,b,c,t
0.354,0.490,0.943,1.677
0.844,0.442,0.343,1.589
0.841,0.656,0.429,1.790
0.103,0.307,0.708,2.105
0.652,0.922,0.326,3.120
0.345,0.312,0.885,1.387
0.195,0.783,0.714,3.452
0.630,0.381,0.575,1.518
0.184,0.503,0.832,2.211
0.443,0.808,0.812,2.425
0.803,0.511,0.417,1.671
0.060,0.511,0.028,25.928
0.340,0.392,0.513,2.243
0.966,0.093,0.883,0.641
0.938,0.177,0.793,0.782
0.759,0.740,0.425,2.125
0.446,0.507,0.065,4.295
0.389,0.445,0.413,2.550
0.661,0.527,0.503,1.849
0.116,0.595,0.844,2.642
0.810,0.666,0.092,2.575
0.305,0.466,0.298,3.515
0.672,0.296,0.603,1.278
0.625,0.867,0.665,2.303
0.793,0.321,0.047,1.977
0.348,0.015,0.068,2.476
0.454,0.548,0.477,2.473
0.468,0.702,0.345,3.343
0.036,0.433,0.327,5.656
0.887,0.813,0.722,1.520
0.039,0.002,0.868,1.107
0.439,0.817,0.982,2.163
0.175,0.832,0.272,7.422
0.772,0.716,0.802,1.560
0.111,0.612,0.555,3.891
0.801,0.987,0.797,1.788
0.728,0.086,0.759,0.790
0.131,0.884,0.059,18.549
0.438,0.717,0.532,2.869
0.166,0.731,0.891,2.811
0.946,0.622,0.378,1.596
0.342,0.462,0.197,3.898
0.465,0.303,0.388,1.960
0.161,0.658,0.284,6.136
0.175,0.092,0.979,1.033
0.627,0.145,0.194,1.585
0.292,0.884,0.614,3.781
0.593,0.777,0.386,2.858
0.215,0.045,0.792,1.084
0.726,0.816,0.354,2.507
0.909,0.726,0.889,1.278
0.309,0.287,0.418,2.264
0.828,0.334,0.840,1.007
0.798,0.353,0.273,1.611
0.552,0.009,0.987,0.662
0.200,0.232,0.259,3.301
0.989,0.488,0.520,1.251
0.850,0.375,0.284,1.547
0.181,0.200,0.782,1.494
0.917,0.015,0.175,0.943
0.523,0.166,0.497,1.324
0.883,0.199,0.286,1.198
0.859,0.705,0.670,1.525
0.862,0.210,0.673,0.928
0.987,0.652,0.254,1.699
0.601,0.064,0.919,0.744
0.604,0.371,0.781,1.308
0.226,0.782,0.514,4.217
0.737,0.084,0.133,1.346
0.848,0.167,0.785,0.820
0.228,0.199,0.252,2.990
0.047,0.353,0.863,2.011
0.501,0.400,0.291,2.405
0.456,0.864,0.278,4.353
0.903,0.586,0.354,1.671
0.232,0.271,0.394,2.573
0.242,0.243,0.769,1.524
0.571,0.898,0.278,3.688
0.356,0.980,0.552,4.059
0.380,0.484,0.463,2.553
0.966,0.183,0.887,0.735
0.668,0.928,0.024,4.385
0.174,0.993,0.777,4.115
0.378,0.293,0.204,2.845
0.241,0.736,0.553,3.727
0.274,0.494,0.579,2.585
0.480,0.597,0.212,3.500
0.062,0.387,0.964,1.874
0.618,0.771,0.332,2.899
0.117,0.486,0.983,2.003
0.275,0.671,0.076,7.794
0.947,0.091,0.264,0.976
0.734,0.731,0.547,1.975
0.388,0.558,0.914,1.809
0.889,0.795,0.485,1.761
0.544,0.495,0.759,1.634
0.668,0.488,0.696,1.510
0.036,0.733,0.973,2.975
0.142,0.024,0.783,1.134
0.905,0.561,0.369,1.616
0.324,0.714,0.618,3.022
0.133,0.812,0.171,10.731
0.321,0.498,0.368,3.202
0.708,0.812,0.879,1.718
0.942,0.098,0.303,0.961
0.037,0.276,0.411,3.634
0.114,0.211,0.372,3.016
0.308,0.211,0.005,4.669
0.219,0.459,0.047,7.947
0.081,0.075,0.868,1.218
0.277,0.593,0.756,2.415
0.071,0.019,0.983,0.985
0.655,0.124,0.407,1.183
0.108,0.159,0.255,3.700
0.072,0.237,0.257,4.650
0.281,0.829,0.302,5.570
0.886,0.551,0.818,1.207
0.950,0.532,0.723,1.183
0.849,0.012,0.706,0.659
0.412,0.238,0.741,1.319
0.121,0.953,0.313,8.729
0.332,0.131,0.776,1.153
0.393,0.873,0.045,7.519
0.025,0.865,0.679,4.939
