a,b,c,t
0.728,0.405,0.666,0.796
0.891,0.178,0.288,2.777
0.878,0.981,0.913,0.071
0.807,0.307,0.482,1.257
0.497,0.993,0.981,0.313
0.301,0.058,0.868,2.025
0.034,0.868,0.937,1.633
0.873,0.421,0.164,2.651
0.832,0.798,0.735,0.242
0.816,0.542,0.824,0.430
0.755,0.446,0.752,0.629
0.544,0.815,0.013,27.173
0.268,0.512,0.708,1.218
0.371,0.158,0.082,15.024
0.847,0.955,0.935,0.099
0.123,0.739,0.807,1.291
0.578,0.294,0.712,1.081
0.966,0.248,0.286,2.170
0.808,0.575,0.879,0.379
0.103,0.629,0.395,3.009
0.427,0.757,0.949,0.517
0.544,0.207,0.231,4.106
0.816,0.010,0.887,2.354
0.027,0.077,0.644,4.165
0.633,0.648,0.491,0.788
0.600,0.803,0.686,0.462
0.647,0.057,0.772,1.857
0.965,0.800,0.429,0.262
0.161,0.457,0.776,1.460
0.071,0.676,0.266,4.958
0.775,0.432,0.676,0.703
0.938,0.812,0.711,0.166
0.213,0.673,0.439,1.922
0.522,0.334,0.677,1.121
0.087,0.620,0.702,1.806
0.383,0.044,0.447,3.967
0.164,0.580,0.838,1.219
0.819,0.147,0.246,3.737
0.255,0.535,0.961,0.900
0.185,0.599,0.154,6.204
0.250,0.076,0.529,3.254
0.858,0.983,0.222,0.333
0.011,0.524,0.126,17.772
0.151,0.320,0.503,2.616
0.711,0.058,0.554,2.499
0.951,0.513,0.348,0.896
0.670,0.811,0.848,0.312
0.333,0.502,0.024,32.369
0.668,0.131,0.832,1.272
0.955,0.143,0.947,0.913
0.771,0.019,0.955,1.921
0.576,0.036,0.836,2.013
0.083,0.307,0.210,7.589
0.114,0.710,0.703,1.553
0.918,0.369,0.858,0.548
0.598,0.953,0.591,0.413
0.264,0.369,0.471,2.147
0.464,0.949,0.660,0.540
0.788,0.636,0.165,1.818
0.963,0.786,0.889,0.136
0.812,0.228,0.047,15.585
0.808,0.710,0.595,0.406
0.501,0.789,0.949,0.425
0.544,0.503,0.085,6.622
0.071,0.950,0.234,5.004
0.743,0.971,0.097,1.462
0.145,0.809,0.473,1.968
0.589,0.315,0.321,2.279
0.267,0.901,0.064,9.668
0.215,0.915,0.606,1.165
0.751,0.056,0.943,1.459
0.975,0.053,0.987,1.304
0.789,0.895,0.568,0.266
0.829,0.405,0.537,0.883
0.545,0.306,0.321,2.423
0.683,0.110,0.033,34.066
0.444,0.005,0.122,21.751
0.678,0.240,0.905,0.871
0.872,0.562,0.176,1.760
0.485,0.470,0.575,1.117
0.778,0.967,0.036,3.433
0.563,0.877,0.993,0.309
0.448,0.567,0.836,0.712
0.208,0.363,0.245,4.580
0.795,0.767,0.489,0.439
0.415,0.443,0.851,0.864
0.954,0.638,0.121,1.782
0.824,0.772,0.381,0.516
0.957,0.613,0.101,2.293
0.637,0.906,0.227,1.052
0.976,0.675,0.723,0.251
0.816,0.715,0.125,1.872
0.958,0.039,0.589,2.424
0.040,0.870,0.479,3.045
0.693,0.325,0.514,1.260
0.308,0.059,0.550,3.165
0.513,0.834,1.000,0.369
0.143,0.256,0.327,4.393
0.383,0.909,0.346,1.324
0.958,0.310,0.036,14.646
0.790,0.206,0.666,1.184
0.412,0.265,0.351,2.740
0.747,0.907,0.924,0.183
0.031,0.724,0.111,14.855
0.551,0.325,0.813,0.919
0.946,0.372,0.661,0.686
0.216,0.461,0.817,1.226
0.955,0.198,0.067,10.796
0.514,0.870,0.647,0.540
0.967,0.984,0.753,0.029
0.609,0.785,0.579,0.554
0.184,0.386,0.026,44.177
0.859,0.713,0.984,0.216
0.933,0.920,0.646,0.103
0.930,0.152,0.054,15.735
0.035,0.417,0.600,3.060
0.644,0.377,0.513,1.198
0.554,0.633,0.214,2.127
0.090,0.427,0.841,1.683
0.020,0.787,0.975,1.849
0.285,0.546,0.029,27.861
0.904,0.103,0.809,1.274
0.788,0.791,0.998,0.206
0.320,0.100,0.248,6.028
0.591,0.802,0.406,0.799
0.943,0.585,0.349,0.740
0.024,0.047,0.954,3.090
0.149,0.795,0.887,1.044
0.664,0.942,0.925,0.220
0.241,0.011,0.262,9.834
0.416,0.215,0.486,2.157
0.633,0.766,0.249,1.263
0.565,0.990,0.931,0.271
0.175,0.379,0.156,7.553
0.368,0.001,0.879,3.907
0.866,0.959,0.366,0.220
0.803,0.037,0.544,2.807
0.823,0.909,0.294,0.429
0.153,0.920,0.746,1.141
0.789,0.946,0.712,0.178
0.522,0.809,0.356,1.052
0.903,0.433,0.007,58.261
0.282,0.874,0.587,1.036
0.819,0.107,0.766,1.380
0.860,0.128,0.947,1.012
0.765,0.765,0.418,0.557
0.946,0.459,0.486,0.745
0.052,0.438,0.115,14.283
0.511,0.269,0.428,2.014
0.861,0.034,0.908,1.689
0.820,0.673,0.754,0.342
0.302,0.945,0.254,2.144
0.061,0.453,0.913,1.707
0.778,0.890,0.557,0.287
0.480,0.100,0.492,2.680
0.017,0.079,0.651,4.412
0.891,0.311,0.711,0.784
0.016,0.445,0.016,134.220
0.077,0.454,0.464,3.139
0.229,0.677,0.092,8.800
0.714,0.469,0.210,2.263
0.781,0.660,0.929,0.310
0.895,0.198,0.375,2.004
0.577,0.879,0.630,0.468
0.477,0.182,0.555,1.912
0.358,0.221,0.952,1.157
0.069,0.816,0.857,1.458
0.586,0.547,0.843,0.586
0.881,0.977,0.038,1.714
0.787,0.700,0.706,0.367
0.202,0.796,0.906,0.876
0.228,0.206,0.255,5.209
0.941,0.478,0.954,0.364
0.668,0.357,0.468,1.330
0.901,0.060,0.644,1.968
0.253,0.070,0.210,8.342
0.072,0.805,0.671,1.843
0.724,0.219,0.383,2.088
0.295,0.616,0.406,1.824
0.446,0.042,0.674,2.563
0.948,0.098,0.838,1.231
0.237,0.377,0.812,1.292
0.415,0.041,0.470,3.764
0.869,0.983,0.209,0.327
0.694,0.568,0.675,0.599
0.187,0.590,0.804,1.191
0.562,0.344,0.319,2.237
0.027,0.717,0.617,2.777
0.349,0.920,0.076,6.492
0.961,0.100,0.984,1.034
0.717,0.054,0.779,1.813
0.684,0.375,0.939,0.629
0.439,0.374,0.039,20.120
0.259,0.265,0.910,1.279
0.309,0.265,0.216,5.031
0.256,0.872,0.819,0.795
0.402,0.792,0.216,2.301
0.057,0.381,0.288,5.775
0.422,0.843,0.823,0.545
0.763,0.888,0.368,0.459
0.638,0.240,0.843,0.967
0.109,0.558,0.232,5.241
0.038,0.223,0.206,10.058
0.077,0.115,0.786,2.612
0.698,0.650,0.939,0.366
0.742,0.726,0.196,1.371
0.145,0.402,0.903,1.367
0.814,0.236,0.908,0.789
0.832,0.151,0.412,2.187
0.171,0.574,0.520,1.939
0.365,0.072,0.387,4.084
0.800,0.581,0.238,1.398
0.407,0.540,0.653,1.008
0.461,0.579,0.415,1.382
0.329,0.624,0.739,0.930
0.099,0.252,0.380,4.218
0.660,0.073,0.744,1.770
0.964,0.165,0.740,1.079
0.304,0.298,0.156,6.685
0.287,0.174,0.173,7.524
0.868,0.038,0.668,2.218
0.917,0.945,0.554,0.112
0.881,0.641,0.956,0.260
0.256,0.206,0.650,1.966
0.446,0.431,0.779,0.919
0.066,0.712,0.524,2.534
0.326,0.954,0.770,0.659
0.567,0.258,0.150,5.565
0.052,0.138,0.664,3.229
0.185,0.695,0.571,1.560
0.032,0.303,0.265,7.598
0.816,0.976,0.249,0.397
0.665,0.967,0.036,5.326
0.990,0.168,0.973,0.801
0.605,0.243,0.834,0.998
0.906,0.869,0.471,0.220
0.886,0.018,0.181,9.930
0.306,0.245,0.371,3.033
0.540,0.497,0.101,5.656
0.265,0.976,0.439,1.338
0.093,0.359,0.204,7.237
0.906,0.315,0.839,0.649
0.144,0.806,0.399,2.344
0.689,0.202,0.072,11.895
0.897,0.768,0.290,0.558
0.037,0.468,0.833,2.115
0.269,0.761,0.215,3.204
0.193,0.993,0.176,4.077
0.900,0.141,0.068,13.184
0.983,0.877,0.979,0.066
0.488,0.016,0.766,2.751
0.261,0.548,0.813,1.039
0.729,0.048,0.948,1.536
0.868,0.924,0.151,0.634
0.692,0.829,0.108,2.235
0.882,0.144,0.627,1.429
0.521,0.954,0.516,0.588
0.414,0.770,0.272,1.825
0.367,0.219,0.629,1.741
0.266,0.189,0.559,2.323
0.827,0.680,0.695,0.360
0.650,0.233,0.187,4.384
0.701,0.847,0.443,0.511
0.101,0.229,0.166,9.854
0.997,0.832,0.754,0.108
0.825,0.895,0.919,0.143
0.049,0.846,0.282,4.902
0.807,0.051,0.225,6.158
0.245,0.690,0.947,0.815
0.228,0.200,0.499,2.687
0.864,0.695,0.469,0.472
0.025,0.885,0.275,6.019
0.588,0.395,0.466,1.361
0.660,0.973,0.469,0.410
0.578,0.106,0.230,5.273
0.005,0.340,0.653,4.241
0.441,0.936,0.798,0.482
0.486,0.658,0.427,1.160
0.285,0.352,0.150,6.657
0.150,0.558,0.478,2.254
0.300,0.155,0.020,66.627
0.408,0.800,0.193,2.519
0.172,0.566,0.975,1.038
0.826,0.815,0.357,0.481
0.786,0.744,0.254,0.917
0.578,0.466,0.974,0.585
0.086,0.098,0.336,6.173
0.197,0.959,0.470,1.540
0.930,0.341,0.250,1.995
0.863,0.531,0.154,2.201
0.876,0.542,0.339,0.954
0.539,0.676,0.078,5.621
0.105,0.047,0.018,128.151
0.510,0.405,0.949,0.722
0.020,0.959,0.457,3.757
0.664,0.292,0.947,0.752
0.791,0.029,0.511,3.208
0.690,0.380,0.638,0.911
0.420,0.401,0.243,3.184
0.188,0.705,0.026,33.756
0.981,0.254,0.115,5.248
0.209,0.241,0.045,28.841
0.710,0.879,0.429,0.477
0.141,0.342,0.306,4.303
0.109,0.258,0.710,2.184
0.046,0.376,0.230,7.661
0.463,0.857,0.508,0.790
0.320,0.736,0.923,0.680
0.209,0.869,0.546,1.357
0.769,0.917,0.398,0.381
0.239,0.765,0.448,1.647
0.671,0.472,0.373,1.339
0.181,0.134,0.931,1.735
0.135,0.438,0.139,8.836
0.634,0.795,0.728,0.409
0.685,0.139,0.330,3.095
0.839,0.661,0.268,0.955
0.124,0.540,0.337,3.484
0.396,0.383,0.515,1.590
0.929,0.609,0.690,0.359
0.896,0.708,0.046,4.297
0.804,0.035,0.469,3.306
0.157,0.835,0.616,1.432
0.127,0.176,0.675,2.445
0.121,0.523,0.789,1.519
0.687,0.459,0.956,0.524
0.798,0.637,0.731,0.402
0.535,0.935,0.278,1.082
0.043,0.009,0.390,8.749
0.673,0.024,0.721,2.485
0.651,0.558,0.748,0.588
0.206,0.790,0.290,2.719
0.490,0.317,0.574,1.409
0.339,0.193,0.026,45.548
0.602,0.389,0.811,0.777
0.310,0.276,0.049,21.790
0.807,0.453,0.873,0.501
0.240,0.475,0.601,1.569
0.383,0.245,0.803,1.280
0.661,0.132,0.040,26.481
0.791,0.998,0.497,0.207
0.871,0.094,0.054,20.127
0.408,0.286,0.729,1.280
0.143,0.326,0.977,1.363
0.562,0.037,0.365,4.608
0.489,0.192,0.523,1.964
0.669,0.087,0.538,2.296
0.155,0.112,0.932,1.889
0.520,0.048,0.090,17.808
0.091,0.405,0.185,7.749
0.778,0.491,0.894,0.467
0.077,0.306,0.451,3.609
0.282,0.765,0.693,0.961
0.392,0.453,0.707,1.062
0.550,0.285,0.533,1.510
0.219,0.160,0.918,1.585
0.137,0.564,0.593,1.875
0.675,0.089,0.385,3.172
0.910,0.637,0.172,1.377
0.928,0.853,0.396,0.256
0.091,0.253,0.985,1.663
0.632,0.631,0.200,1.996
0.923,0.533,0.122,2.525
0.634,0.395,0.590,1.019
0.294,0.580,0.033,23.280
0.252,0.163,0.708,1.958
0.339,0.722,0.692,0.883
0.975,0.009,0.671,3.065
0.645,0.888,0.917,0.264
0.040,0.325,0.253,7.455
0.623,0.407,0.295,2.020
0.469,0.542,0.342,1.739
0.227,0.350,0.512,2.148
0.930,0.105,0.940,1.075
0.939,0.876,0.090,0.943
0.081,0.265,0.366,4.558
0.329,0.989,0.976,0.500
0.734,0.898,0.749,0.242
0.775,0.672,0.134,2.114
0.678,0.751,0.372,0.788
0.200,0.558,0.443,2.150
0.630,0.387,0.421,1.456
0.369,0.192,0.372,3.091
0.317,0.916,0.658,0.816
0.747,0.024,0.890,1.962
0.514,0.475,0.053,11.554
0.003,0.656,0.656,4.125
0.076,0.340,0.445,3.568
0.451,0.830,0.346,1.233
0.427,0.620,0.804,0.718
0.535,0.431,0.325,1.961
0.811,0.313,0.682,0.873
0.765,0.176,0.807,1.079
0.302,0.490,0.024,34.575
0.362,0.162,0.263,4.684
0.244,0.726,0.643,1.169
0.110,0.398,0.605,2.246
0.771,0.933,0.961,0.149
0.099,0.615,0.051,23.833
0.059,0.393,0.721,2.267
0.318,0.299,0.270,3.785
0.745,0.627,0.900,0.367
0.416,0.179,0.540,2.089
0.259,0.294,0.653,1.713
0.025,0.017,0.205,16.447
0.959,0.620,0.016,14.112
0.743,0.701,0.906,0.313
0.813,0.900,0.002,67.833
0.695,0.015,0.001,1981.924
0.638,0.595,0.374,1.125
0.551,0.086,0.811,1.633
0.014,0.071,0.760,3.951
0.213,0.537,0.164,5.742
0.906,0.056,0.106,12.214
0.337,0.373,0.319,2.823
0.020,0.500,0.866,2.309
0.596,0.929,0.288,0.891
0.053,0.883,0.890,1.494
0.200,0.306,0.136,8.921
0.672,0.468,0.661,0.760
0.679,0.327,0.771,0.848
0.093,0.373,0.256,5.702
0.426,0.111,0.865,1.532
0.282,0.720,0.887,0.781
0.960,0.121,0.154,6.071
0.577,0.685,0.807,0.500
0.868,0.865,0.977,0.127
0.580,0.491,0.926,0.589
0.125,0.378,0.331,4.005
0.911,0.977,0.689,0.073
0.323,0.629,0.604,1.146
0.990,0.327,0.138,3.549
0.076,0.051,0.542,4.449
0.713,0.997,0.173,0.857
0.071,0.204,0.947,1.942
0.526,0.341,0.072,10.365
0.837,0.836,0.277,0.560
0.785,0.681,0.910,0.299
0.880,0.637,0.526,0.478
0.615,0.937,0.166,1.442
0.480,0.814,0.388,1.052
0.286,0.726,0.262,2.606
0.605,0.994,0.727,0.304
0.410,0.492,0.194,3.584
0.757,0.243,0.647,1.136
0.471,0.782,0.633,0.685
0.308,0.602,0.310,2.361
0.443,0.680,0.034,15.326
0.733,0.465,0.024,19.477
0.878,0.240,0.378,1.789
0.904,0.705,0.782,0.250
0.366,0.269,0.453,2.222
0.484,0.446,0.353,1.886
0.266,0.878,0.008,78.953
0.811,0.862,0.134,1.160
0.174,0.012,0.622,4.309
0.179,0.865,0.343,2.362
0.469,0.812,0.367,1.142
0.307,0.508,0.338,2.388
0.424,0.230,0.297,3.404
0.344,0.889,0.494,1.042
0.129,0.188,0.788,2.050
0.387,0.178,0.572,2.031
0.894,0.216,0.701,1.019
0.672,0.621,0.364,1.043
0.451,0.171,0.049,22.711
0.676,0.638,0.478,0.764
0.064,0.452,0.532,2.892
0.555,0.561,0.101,5.017
0.377,0.499,0.288,2.519
0.568,0.286,0.657,1.201
0.193,0.408,0.613,1.801
0.833,0.056,0.703,1.894
0.619,0.833,0.325,0.885
0.351,0.679,0.291,2.140
0.135,0.830,0.419,2.269
0.527,0.096,0.382,3.392
0.339,0.957,0.790,0.619
0.452,0.177,0.593,1.850
0.824,0.371,0.229,2.248
0.246,0.334,0.454,2.391
0.291,0.127,0.881,1.626
0.005,0.551,0.646,3.963
0.363,0.115,0.337,4.093
0.476,0.341,0.919,0.859
0.261,0.041,0.588,3.351
0.743,0.093,0.124,9.359
0.187,0.639,0.339,2.722
0.991,0.201,0.834,0.840
0.390,0.058,0.975,1.688
0.935,0.767,0.073,1.978
0.853,0.083,0.826,1.392
0.987,0.072,0.529,2.171
0.750,0.072,0.087,14.570
0.268,0.380,0.196,5.062
0.631,0.119,0.836,1.345
0.939,0.961,0.851,0.052
0.989,0.054,0.226,5.630
0.760,0.581,0.736,0.482
0.473,0.428,0.290,2.392
0.942,0.523,0.849,0.362
0.672,0.130,0.462,2.292
0.662,0.871,0.675,0.354
0.808,0.738,0.180,1.247
0.009,0.240,0.455,5.858
0.866,0.073,0.479,2.503
0.077,0.350,0.942,1.666
0.633,0.142,0.269,3.890
0.890,0.600,0.263,1.036
0.937,0.592,0.216,1.185
0.541,0.911,0.980,0.314
0.831,0.819,0.847,0.197
0.996,0.658,0.431,0.426
0.903,0.204,0.009,81.631
0.591,0.837,0.942,0.325
0.751,0.889,0.706,0.249
0.495,0.033,0.515,3.470
0.756,0.161,0.688,1.329
0.238,0.957,0.122,5.266
0.513,0.363,0.460,1.587
