a,b,c,t
0.141,0.577,0.138,8.876
0.333,0.928,0.569,3.921
0.509,0.573,0.944,1.613
0.218,0.229,0.355,2.631
0.388,0.879,0.886,2.604
0.598,0.213,0.385,1.477
0.385,0.464,0.794,1.779
0.561,0.745,0.381,2.921
0.261,0.657,0.226,5.539
0.972,0.408,0.308,1.383
0.549,0.289,0.009,2.920
0.913,0.723,0.291,1.901
0.724,0.572,0.209,2.371
0.298,0.637,0.513,3.232
0.517,0.943,0.710,2.719
0.378,0.371,0.817,1.550
0.154,0.716,0.411,5.175
0.103,0.760,0.098,15.357
0.131,0.501,0.285,5.400
0.959,0.381,0.139,1.575
0.983,0.672,0.915,1.126
0.947,0.833,0.523,1.608
0.824,0.695,0.619,1.634
0.695,0.253,0.617,1.167
0.140,0.581,0.832,2.561
0.302,0.763,0.430,4.120
0.595,0.442,0.869,1.353
0.269,0.261,0.195,3.414
0.120,0.199,0.245,3.937
0.960,0.702,0.534,1.473
0.280,0.783,0.750,3.004
0.379,0.800,0.446,3.731
0.906,0.062,0.876,0.631
0.678,0.392,0.247,1.990
0.283,0.355,0.895,1.547
0.694,0.139,0.599,0.995
0.187,0.616,0.848,2.502
0.852,0.803,0.247,2.266
0.907,0.534,0.274,1.705
0.901,0.898,0.183,2.327
0.335,0.358,0.113,4.073
0.249,0.014,0.407,1.567
0.138,0.450,0.338,4.405
0.593,0.217,0.681,1.147
0.900,0.641,0.484,1.581
0.857,0.766,0.764,1.498
0.212,0.942,0.467,5.441
0.607,0.403,0.098,2.675
0.827,0.832,0.729,1.654
0.987,0.320,0.139,1.434
0.228,0.520,0.744,2.355
0.451,0.870,0.248,4.604
0.303,0.487,0.537,2.594
0.322,0.364,0.439,2.420
0.046,0.244,0.861,1.706
0.277,0.787,0.379,4.740
0.621,0.443,0.824,1.367
0.173,0.157,0.141,4.260
0.152,0.250,0.500,2.394
0.569,0.469,0.831,1.468
0.638,0.543,0.294,2.362
0.162,0.288,0.716,1.886
0.127,0.491,0.344,4.708
0.140,0.760,0.075,14.315
0.899,0.293,0.267,1.358
0.456,0.491,0.402,2.505
0.570,0.855,0.303,3.462
0.212,0.449,0.477,3.028
0.282,0.575,0.738,2.392
0.417,0.970,0.924,2.662
0.018,0.896,0.764,4.596
0.283,0.262,0.001,5.584
0.292,0.589,0.082,6.626
0.575,0.900,0.886,2.142
0.270,0.955,0.824,3.376
0.834,0.984,0.525,2.042
0.867,0.336,0.042,1.842
0.073,0.321,0.912,1.771
0.501,0.347,0.811,1.352
0.625,0.066,0.616,0.914
0.010,0.258,0.277,5.514
0.336,0.630,0.971,1.978
0.563,0.644,0.292,2.916
0.512,0.467,0.009,3.972
0.826,0.525,0.335,1.767
0.257,0.310,0.238,3.450
0.386,0.842,0.821,2.654
0.535,0.256,0.086,2.503
0.222,0.997,0.415,6.109
0.802,0.938,0.158,2.899
0.958,0.764,0.514,1.545
0.164,0.473,0.127,7.426
0.765,0.457,0.741,1.295
0.966,0.597,0.771,1.186
0.552,0.344,0.335,1.982
0.552,0.520,0.166,3.047
0.718,0.998,0.037,4.066
0.044,0.370,0.369,4.544
0.800,0.277,0.112,1.720
0.985,0.213,0.619,0.884
0.180,0.591,0.866,2.403
0.950,0.605,0.902,1.126
0.301,0.841,0.418,4.552
0.944,0.536,0.095,1.915
0.767,0.048,0.402,0.938
0.844,0.343,0.211,1.605
0.125,0.479,0.196,6.798
0.473,0.699,0.218,3.915
0.184,0.919,0.807,3.661
0.605,0.750,0.510,2.438
0.621,0.658,0.612,2.014
0.978,0.391,0.308,1.352
0.579,0.458,0.558,1.781
0.909,0.961,0.291,2.142
0.190,0.310,0.520,2.411
0.662,0.839,0.659,2.159
0.760,0.204,0.095,1.662
0.357,0.702,0.798,2.417
0.487,0.847,0.454,3.304
0.019,0.073,0.849,1.326
0.353,0.814,0.923,2.464
0.046,0.707,0.470,5.643
0.246,0.226,0.833,1.390
0.258,0.433,0.281,3.777
0.242,0.273,0.592,1.936
0.938,0.084,0.680,0.722
0.186,0.063,0.748,1.210
0.916,0.698,0.005,2.445
0.011,0.795,0.865,3.678
0.634,0.300,0.589,1.344
0.388,0.306,0.601,1.706
0.723,0.741,0.808,1.674
0.827,0.928,0.188,2.675
0.628,0.942,0.522,2.731
0.284,0.255,0.271,2.826
0.008,0.421,0.108,17.407
0.073,0.553,0.086,15.153
0.209,0.320,0.832,1.668
0.926,0.184,0.835,0.777
0.976,0.424,0.713,1.062
0.086,0.038,0.294,2.835
0.847,0.831,0.758,1.582
0.840,0.937,0.332,2.303
0.093,0.329,0.149,7.293
0.631,0.988,0.026,4.931
0.403,0.694,0.426,3.305
0.908,0.814,0.616,1.583
0.319,0.910,0.628,3.685
0.292,0.315,0.195,3.528
0.257,0.280,0.524,2.089
0.501,0.777,0.903,2.064
0.276,0.967,0.048,11.516
0.585,0.106,0.908,0.816
0.707,0.522,0.577,1.648
0.775,0.173,0.539,1.031
0.091,0.074,0.060,7.639
0.823,0.562,0.700,1.394
0.202,0.431,0.966,1.744
0.218,0.804,0.202,7.618
0.241,0.691,0.366,4.634
0.433,0.960,0.112,6.450
0.619,0.059,0.461,1.037
0.217,0.959,0.242,8.178
0.481,0.291,0.220,2.342
0.916,0.097,0.345,0.947
0.421,0.423,0.290,2.785
0.587,0.544,0.144,3.051
0.478,0.849,0.006,6.457
0.207,0.340,0.695,1.983
0.440,0.159,0.801,1.078
0.108,0.843,0.214,10.501
0.705,0.622,0.704,1.656
0.324,0.431,0.766,1.853
0.761,0.728,0.216,2.550
0.642,0.050,0.100,1.484
0.891,0.118,0.405,0.955
0.480,0.775,0.773,2.324
0.694,0.682,0.471,2.121
0.216,0.756,0.946,2.614
0.622,0.225,0.389,1.461
0.235,0.689,0.808,2.693
0.144,0.864,0.581,4.753
0.758,0.136,0.082,1.522
0.060,0.132,0.150,6.102
0.881,0.871,0.895,1.425
0.615,0.987,0.198,4.022
0.941,0.005,0.828,0.571
0.952,0.982,0.601,1.599
0.804,0.059,0.614,0.789
0.895,0.726,0.435,1.742
0.792,0.081,0.562,0.860
0.285,0.923,0.085,9.640
0.555,0.043,0.628,0.919
0.786,0.329,0.874,1.011
0.744,0.140,0.020,1.685
0.722,0.325,0.096,2.058
0.606,0.331,0.586,1.442
0.773,0.402,0.947,1.066
0.088,0.650,0.918,2.701
0.818,0.400,0.690,1.203
0.753,0.258,0.055,1.900
0.176,0.684,0.538,3.938
0.147,0.872,0.790,3.707
0.205,0.890,0.300,6.950
0.284,0.404,0.380,2.941
0.141,0.335,0.522,2.684
0.234,0.351,0.189,4.293
0.986,0.957,0.607,1.496
0.588,0.086,0.777,0.862
0.872,0.916,0.735,1.620
0.126,0.263,0.304,3.706
0.259,0.011,0.699,1.067
0.387,0.291,0.771,1.425
0.668,0.179,0.357,1.340
0.805,0.692,0.825,1.457
0.118,0.263,0.196,5.076
0.275,0.725,0.635,3.195
0.924,0.978,0.711,1.559
0.011,0.391,0.744,2.563
0.979,0.430,0.284,1.427
0.597,0.957,0.416,3.192
0.536,0.403,0.503,1.832
0.965,0.993,0.199,2.112
0.805,0.447,0.652,1.313
0.924,0.168,0.644,0.852
0.006,0.419,0.896,2.232
0.685,0.848,0.542,2.311
0.942,0.226,0.592,0.944
0.425,0.326,0.116,3.203
0.721,0.933,0.762,1.984
0.918,0.124,0.298,1.027
0.550,0.851,0.523,2.833
0.040,0.085,0.113,7.694
0.918,0.147,0.292,1.070
0.514,0.994,0.153,5.222
0.914,0.534,0.151,1.886
0.635,0.728,0.037,3.920
0.063,0.842,0.557,5.464
0.380,0.358,0.286,2.731
0.177,0.176,0.905,1.277
0.100,0.143,0.218,4.108
0.911,0.090,0.305,0.971
0.690,0.086,0.779,0.800
0.849,0.634,0.254,2.020
0.751,0.724,0.980,1.442
0.085,0.931,0.445,7.013
0.953,0.038,0.720,0.643
0.206,0.835,0.769,3.398
0.929,0.622,0.067,2.139
0.137,0.387,0.360,3.863
0.547,0.826,0.676,2.435
0.463,0.209,0.223,2.114
0.127,0.429,0.089,9.434
0.166,0.631,0.655,3.218
0.141,0.443,0.651,2.622
0.897,0.440,0.695,1.167
0.157,0.514,0.676,2.740
0.456,0.406,0.359,2.367
0.241,0.939,0.022,13.922
0.791,0.856,0.196,2.710
0.548,0.058,0.985,0.729
0.413,0.853,0.331,4.314
0.180,0.405,0.458,3.082
0.706,0.462,0.466,1.695
